SESSION_KEY,SESSION_DATE,MEMBER_KEY,FLAG_FIRST_TIME_VISITOR,FLAG_FIRST_TIME_BUYER,PROBABILITY_TO_TRANSACT,PREDICTED_POINTS_PURCHASED,PREDICTED_PRICE_PER_POINT,OFFER_RICHNESS_SERVED,FLAG_TRANSACTION,OFFER_RICHNESS_APPLIED,POINTS_PURCHASED,PRICE_PER_POINT,CURRENT_BALANCE,DAYS_SINCE_LAST_PURCHASE_L12M,COUNT_TRANX_L12M,LAST_OFFER_RICHNESS_SERVED_ON_PURCHASE_L12M,OFFER_RICHNESS_APPLIED_ON_LAST_PURCHASE_L12M,POINTS_PURCHASED_LAST_TRANX_L12M,DAYS_SINCE_LAST_VISIT_NO_PURCHASE
ca809de5-f975-4cca-87bd-a39a6904dd51,2024-09-02 13:22:08.000,1796783552139860397,0,1,0.16675420534421012,27731.562596798485,0.01594068585398752,0.50,0,-1.0,0.0,-1.0,124785,9999,0,-1.0,-1.0,0.0,324
428fd87c-ab66-4756-8117-d410b0cf5c64,2024-09-02 13:22:15.000,6114764342573278974,0,0,0.49062272157070175,12572.933509078275,0.01574186197572807,0.50,0,-1.0,0.0,-1.0,880,19,1,0.45,0.45,9000.0,9999
937f0273-5528-42f8-b874-189d18d7a6cc,2024-09-02 13:22:20.000,-256562052122916090,0,1,0.8850758929384646,9823.709144243569,0.015916739415445143,0.50,1,0.5,32000.0,0.015,26038,9999,0,-1.0,-1.0,0.0,9999
e9b7aad5-824f-4ad5-9606-8b6ac5abe2c5,2024-09-02 13:22:31.000,6002831937242022311,0,0,0.6448738607919587,17698.622609203972,0.016341604954164132,0.50,1,0.5,51000.0,0.015,20017,201,1,0.5,0.5,32000.0,14
f9696a05-41c2-41a9-90f2-5e0ec518b26d,2024-09-02 13:22:39.000,3567265262731963669,0,1,0.17435342049564703,10410.631582731256,0.015324324943689934,0.50,0,-1.0,0.0,-1.0,8115,9999,0,-1.0,-1.0,0.0,17
47edc098-1c8e-4435-b7b7-6548f4c2470a,2024-09-02 13:22:45.000,5082435372717405016,0,0,0.5064695467200597,8577.407401754675,0.015382003208368527,0.50,0,-1.0,0.0,-1.0,14026,330,1,0.5,0.5,3000.0,20
b3c97f61-b4fa-4164-a97b-8f0dbe9eafee,2024-09-02 13:23:29.000,-5413611567607919075,0,1,0.26887823161332647,13677.595032409492,0.01534806093850032,0.50,0,-1.0,0.0,-1.0,3766,9999,0,-1.0,-1.0,0.0,35
e7dccbbf-552f-4ce2-92a6-a7f08a40b2b9,2024-09-02 13:23:32.000,3023107806226208528,0,0,0.6023611104985666,9957.309145181507,0.01569792614795246,0.50,1,0.5,10000.0,0.015,28940,9999,0,-1.0,-1.0,0.0,9999
7a106ce1-8d26-4035-97fb-e197c65957f0,2024-09-02 13:23:48.000,6386805105701485525,1,1,0.3036389860369476,9483.80691038828,0.015767195692093797,0.45,0,-1.0,0.0,-1.0,3351,9999,0,-1.0,-1.0,0.0,9999
e51a291a-8dc9-4a25-815a-ebb7543eea14,2024-09-02 13:23:57.000,-3673906089390829535,0,1,0.8473904719318727,9572.81577442857,0.01586964926772704,0.50,0,-1.0,0.0,-1.0,13368,9999,0,-1.0,-1.0,0.0,9999
